iata,icao,name,location,latitude,longitude,website,city,country,country_iso,phone
YFH,CYFH,Fort Hope Airport,"Eabametoong (Fort Hope), Ontario, Canada",51.56171,-87.90695,,,Canada,CA,
MKZ,WMKM,Malacca International Airport,"Malacca City, Malacca, Malaysia",2.255507,102.25086,http://www.malaysiaairports.com.my/?m=business&c=business_about&id=1,Batu Berendam,Malaysia,MY,+60 6-317 5860
MLC,KMLC,McAlester Regional Airport,"McAlester, Oklahoma, United States",34.882515,-95.783356,,McAlester,United States,US,+1 918-429-9400
YFS,CYFS,Fort Simpson Airport,"Fort Simpson, Northwest Territories, Canada",61.758953,-121.23158,http://www.gov.nt.ca/,Fort Simpson,Canada,CA,+1 867-695-2471
LCO,FCBL,Lague Airport,"Lague, Republic of the Congo",0.0,0.0,,,,,
MLE,VRMM,Ibrahim Nasir International Airport,"Malé, Maldives",4.1887827,73.52858,http://www.macl.aero/,Malé,Maldives,MV,+960 332-3506
AQG,ZSAQ,Anqing Tianzhushan Airport,"Anqing, Anhui, China",30.5831,117.05164,,Anqing,China,CN,+86 556 586 1114
YHU,CYHU,Montréal/Saint-Hubert Airport,"Montreal, Quebec, Canada",45.51994,-73.41346,http://www.dashl.ca/,Longueuil,Canada,CA,+1 450-678-6030
YIV,CYIV,Island Lake Airport (Garden Hill Airport),"Island Lake / Garden Hill, Manitoba, Canada",53.856644,-94.65247,,Island Lake,Canada,CA,+1 204-456-2736
AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport,"Qaisumah / Hafar Al-Batin, Saudi Arabia",28.334408,46.121315,https://gaca.gov.sa/web/en-gb/airport/al-qaisumah-airport,Al Qaisumah,Saudi Arabia,SA,+966 13 724 1609
YGW,CYGW,Kuujjuarapik Airport,"Kuujjuarapik, Quebec, Canada",55.28279,-77.75824,http://www.airinuit.com/,Kuujjuarapik,Canada,CA,+1 819-929-3328
AQJ,OJAQ,King Hussein International Airport,"Aqaba, Jordan",29.613297,35.01994,,Aqaba,Jordan,JO,+962 3 201 2111
YHF,CYHF,Hearst (René Fontaine) Municipal Airport,"Hearst, Ontario, Canada",49.709064,-83.6932,http://www.hearst.ca/en/visitors/hearst-airport/,Hearst,Canada,CA,+1 705-372-2842
ATP,AYAI,Aitape Airstrip,"Aitape, Papua New Guinea",-3.1538272,142.364,,Aitape,Papua New Guinea,PG,
AUP,AYAG,Agaun Airport,"Agaun, Papua New Guinea",0.0,0.0,,,,,
MLG,WARA,Abdul Rachman Saleh Airport,"Malang, Indonesia",-7.937176,112.71169,,,Indonesia,ID,+62 341 2992700
LVI,FLLI,Harry Mwanga Nkumbula International Airport,"Livingstone, Zambia",-17.825253,25.819218,http://www.nacl.co.zm/,Livingstone,Zambia,ZM,+260 21 3321153
AME,,Alto Molocue Airport,"Alto Molocue, Mozambique",0.0,0.0,,,,,
BCZ,,Bickerton Island Airport,"Bickerton Island, Northern Territory, Australia",-13.973647,136.45746,,Anindilyakwa,Australia,AU,
MDN,KIMS,Madison Municipal Airport,"Madison, Indiana, United States",38.760277,-85.46445,http://www.madisonmunicipalairport.com/,Madison,United States,US,+1 812-273-1914
YLR,CYLR,Leaf Rapids Airport,"Leaf Rapids, Manitoba, Canada",56.513332,-99.985275,,Leaf Rapids,Canada,CA,
CNY,KCNY,Canyonlands Field,"Moab, Utah, United States",38.757263,-109.752174,http://www.moabairport.com/,Moab,United States,US,+1 435-259-4849
YLJ,CYLJ,Meadow Lake Airport,"Meadow Lake, Saskatchewan, Canada",38.952473,-104.570404,http://www.meadowlakeairport.com/,Peyton,United States,US,+1 719-339-0928
MDG,ZYMD,Mudanjiang Hailang Airport,"Mudanjiang, Heilongjiang, China",44.524166,129.5689,,Mudanjiang,China,CN,+86 453 665 1666
BCP,AYBC,Bambu Airport,"Bambu, Papua New Guinea",0.0,0.0,,,,,
MEK,GMFM,Bassatine Air Base,"Meknes, Morocco",0.0,0.0,,,,,
YJF,CYJF,Fort Liard Airport,"Fort Liard, Northwest Territories, Canada",60.236153,-123.46978,,Fort Liard,Canada,CA,
YCM,CYSN,St. Catharines/Niagara District Airport,"St. Catharines, Ontario, Canada",43.189358,-79.17107,http://niagaradistrictairport.ca/,Niagara-on-the-Lake,Canada,CA,+1 905-684-7447
BHL,,Bahía de los Ángeles Airport,"Bahía de los Ángeles, Baja California, Mexico",28.891302,-113.528625,,,Mexico,MX,
MEA,SBME,Benedito Lacerda Airport,"Macaé, Rio de Janeiro, Brazil",0.0,0.0,,,,,
MEF,,Melfi Airport,"Melfi, Chad",41.13751,16.765202,http://www.aeroportidipuglia.it/,,Italy,IT,+39 080 580 0200
NNK,,Naknek Airport (FAA: 5NK),"Naknek, Alaska, United States",58.734993,-157.02203,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=5NK,Naknek,United States,US,+1 907-246-3325
WTL,,Tuntutuliak Airport (FAA: A61),"Tuntutuliak, Alaska, United States",60.337868,-162.66292,,Tuntutuliak,United States,US,+1 866-864-1737
YPS,CYPD,Port Hawkesbury Airport,"Port Hawkesbury, Nova Scotia, Canada",45.658543,-61.37666,https://www.celticairservices.com/,Port Hastings,Canada,CA,+1 902-625-2206
YPR,CYPR,Prince Rupert Airport,"Prince Rupert, British Columbia, Canada",54.28611,-130.44472,http://www.ypr.ca/,Prince Rupert,Canada,CA,+1 250-624-6274
BNF,,Warm Springs Bay Seaplane Base,"Baranof Warm Springs, Alaska, United States",57.088825,-134.83315,,Sitka,United States,US,+1 907-465-1786
COD,KCOD,Yellowstone Regional Airport,"Cody, Wyoming, United States",44.520443,-109.02258,http://www.flyyra.com,Cody,United States,US,+1 307-587-5096
MEG,FNMA,Malanje Airport,"Malanje, Angola",-9.525021,16.31285,,Malanje,Angola,AO,+244 934 000 508
MEP,WMAU,Mersing Airport,"Mersing, Johor, Malaysia",2.3885481,103.874886,,Mersing,Malaysia,MY,
AKV,CYKO,Akulivik Airport,"Akulivik, Quebec, Canada",60.818607,-78.14861,http://www.airinuit.com/,Akulivik,Canada,CA,+1 819-496-2213
YKJ,CYKJ,Key Lake Airport,"Key Lake, Saskatchewan, Canada",57.25712,-105.61365,,,Canada,CA,
YMG,CYMG,Manitouwadge Airport,"Manitouwadge, Ontario, Canada",49.08389,-85.86056,,,Canada,CA,
BDO,WICC,Husein Sastranegara International Airport,"Bandung, Indonesia",0.0,0.0,,,,,
YUD,CYMU,Umiujaq Airport,"Umiujaq, Quebec, Canada",56.53611,-76.51833,http://www.airinuit.com/,Umiujaq,Canada,CA,+1 819-331-7004
YFJ,CYWE,Wekweètì Airport (Snare Lake Airport) (TC: CFJ7),"Wekweeti, Northwest Territories, Canada",64.19313,-114.07664,,Wekweètì,Canada,CA,+1 867-713-2910
YPC,CYPC,Nora Aliqatchialuk Ruben Airport,"Paulatuk, Northwest Territories, Canada",69.36128,-124.07743,,Paulatuk,Canada,CA,
BDQ,VABO,Vadodara Airport (Civil Airport Harni),"Vadodara, Gujarat, India",22.332462,73.21706,http://aai.aero/,Vadodara,India,IN,+91 265 248 5356
LAK,CYKD,Aklavik/Freddie Carmichael Airport,"Aklavik, Northwest Territories, Canada",68.226234,-135.01286,,Aklavik,Canada,CA,+1 867-978-2112
MEJ,KGKJ,Port Meadville Airport (FAA: GKJ),"Meadville, Pennsylvania, United States",41.626266,-80.21405,http://www.portmeadvilleairport.com/,Meadville,United States,US,+1 814-333-2677
EWR,KEWR,Newark Liberty International Airport,"Newark, New Jersey, United States",40.689533,-74.17446,http://www.panynj.gov/airports/newark-liberty.html,Newark,United States,US,+1 973-961-6000
MEQ,WITC,Cut Nyak Dhien Airport,"Meulaboh, Indonesia",4.038067,96.25866,,,Indonesia,ID,+62 655 7014560
YXN,CYXN,Whale Cove Airport,"Whale Cove, Nunavut, Canada",62.24072,-92.59792,,Whale Cove,Canada,CA,
MEU,SBMD,Serra do Areão Airport,"Monte Dourado, Pará, Brazil",-0.8882582,-52.599552,,,Brazil,BR,
RLD,KRLD,Richland Airport,"Richland, Washington, United States",46.300797,-119.301094,http://www.wsdot.wa.gov/aviation/AllStateAirports/Richland_Richland.htm,Richland,United States,US,+1 509-375-3060
LEG,,Aleg Airport,"Aleg, Mauritania",0.0,0.0,,,,,
YSK,CYSK,Sanikiluaq Airport,"Sanikiluaq, Nunavut, Canada",56.53781,-79.2466,http://www.airinuit.com/,Sanikiluaq,Canada,CA,+1 867-266-8946
MER,KMER,Castle Airport,"Merced, California, United States",37.37346,-120.57309,http://www.flycastleairport.com/,Atwater,United States,US,+1 209-385-7686
MES,WIMK,Soewondo Air Force Base,"Medan, Indonesia",0.0,0.0,,,,,
NOR,BINF,Norðfjörður Airport,"Nordfjordur, Iceland",65.13352,-13.738226,http://www.isavia.is/,Neskaupstadur,Iceland,IS,+354 477 1214
YCK,CYVL,Colville Lake/Tommy Kochon Aerodrome,"Colville Lake, Northwest Territories, Canada",0.0,0.0,,,,,
MFG,OPMF,Muzaffarabad Airport,"Muzaffarabad, Pakistan",34.34139,73.50584,http://caapakistan.com.pk/,Muzaffarabad,Pakistan,PK,+92 347 5200918
MFI,KMFI,Marshfield Municipal Airport,"Marshfield, Wisconsin, United States",42.09709,-70.67692,http://www.shorelineaviation.net/marshfield-airport-ghg/,Marshfield,United States,US,+1 781-834-4928
YSP,CYSP,Marathon Aerodrome,"Marathon, Ontario, Canada",48.75911,-86.34895,http://www.marathon.ca/town-hall/departments/works-and-operations/airport/,Marathon,Canada,CA,+1 807-229-1183
YST,CYST,St. Theresa Point Airport,"St. Theresa Point, Manitoba, Canada",53.856644,-94.65247,,Island Lake,Canada,CA,+1 204-456-2736
YTA,CYTA,Pembroke Airport,"Pembroke, Ontario, Canada",45.862415,-77.253784,http://www.flycyta.ca/,Pembroke,Canada,CA,+1 613-687-5300
BXL,,Blue Lagoon Seaplane Base,"Nanuya Lailai, Fiji",0.0,0.0,,,,,
YTQ,CYTQ,Tasiujaq Airport,"Tasiujaq, Quebec, Canada",58.66783,-69.95635,,,Canada,CA,
COH,VECO,Cooch Behar Airport,"Cooch Behar, West Bengal, India",26.329725,89.46987,,Cooch Behar,India,IN,+91 3582 222 518
YGZ,CYGZ,Grise Fiord Airport,"Grise Fiord, Nunavut, Canada",76.42611,-82.90945,http://www.grisefiord.ca/,Grise Fiord,Canada,CA,+1 867-980-9959
YLH,CYLH,Lansdowne House Airport,"Neskantaga (Lansdowne House Indian Band), Ontario, Canada",52.19756,-87.93514,,,Canada,CA,+1 807-479-2598
YTL,CYTL,Big Trout Lake Airport,"Kitchenuhmaykoosib Inninuwug (Big Trout Lake), Ontario, Canada",53.818764,-89.83509,,Big Trout Lake,Canada,CA,+1 807-537-2366
COK,VOCI,Cochin International Airport (Nedumbassery Airport),"Kochi (Cochin), Kerala, India",10.151783,76.39296,http://www.cial.aero/,Kochi,India,IN,+91 484 261 0115
CYA,MTCA,Antoine-Simon Airport,"Les Cayes, Haiti",18.27041,-73.78851,,,Haiti,HT,
MFK,RCMT,Matsu Beigan Airport,"Beigan, Taiwan",26.224361,120.00102,http://www.tsa.gov.tw/tsaMFK/zh/home.aspx,,Taiwan,TW,+886 8 365 6606
MEW,FZVM,Mweka Airport,"Mweka, Democratic Republic of the Congo",0.0,0.0,,,,,
MFF,FOOD,Moanda Airport,"Moanda, Gabon",-1.536944,13.270833,,Moanda,Gabon,GA,
SPK,,metropolitan area5,"Sapporo, Hokkaido, Japan",0.0,0.0,,,,,
YVM,CYVM,Qikiqtarjuaq Airport,"Qikiqtarjuaq, Nunavut, Canada",67.54683,-64.02951,,Qikiqtarjuaq,Canada,CA,
MFS,SKMF,Miraflores Airport,"Miraflores, Colombia",1.3385175,-71.95199,,,Colombia,CO,
MBN,,Mount Barnett Airport,"Mount Barnett, Western Australia, Australia",-16.658073,125.959625,,King Leopold Ranges,Australia,AU,
MFQ,DRRM,Maradi Airport,"Maradi, Niger",13.499451,7.120204,,Maradi,Niger,NE,
AGZ,FAAG,Aggeneys Airport,"Aggeneys, South Africa",-29.277264,18.81551,,Aggeneys,South Africa,ZA,
DDC,KDDC,Dodge City Regional Airport,"Dodge City, Kansas, United States",37.765873,-99.9669,http://www.dodgecity.org/index.aspx?nid=60,Dodge City,United States,US,+1 620-225-8170
MFR,KMFR,Rogue Valley International–Medford Airport,"Medford, Oregon, United States",42.368336,-122.87429,http://jacksoncountyor.org/airport,Medford,United States,US,+1 541-776-7222
MZD,,Méndez Airport,"Santiago de Méndez, Ecuador",0.0,0.0,,,,,
YPB,,Alberni Valley Regional Airport (TC: CBS8),"Port Alberni, British Columbia, Canada",49.319683,-124.92952,http://www.acrd.bc.ca/cms.asp?wpID=169,Port Alberni,Canada,CA,+1 866-541-4101
ZLT,,La Tabatière Airport (TC: CTU5),"Gros-Mécatina (La Tabatière), Quebec, Canada",50.83006,-58.976013,,,Canada,CA,+1 418-773-2545
LPB,SLLP,El Alto International Airport,"La Paz, Bolivia",-16.510248,-68.18829,,El Alto,Bolivia,BO,+591 2 2157300
YNL,CYNL,Points North Landing Airport,"Points North Landing, Saskatchewan, Canada",58.27722,-104.08222,http://pointsnorthgroup.ca/,,Canada,CA,+1 306-633-2137
YYL,CYYL,Lynn Lake Airport,"Lynn Lake, Manitoba, Canada",56.86242,-101.06819,http://lynnlake.ca/?page_id=209,Lynn Lake,Canada,CA,+1 204-356-2900
YYU,CYYU,Kapuskasing Airport,"Kapuskasing, Ontario, Canada",49.41831,-82.47014,http://www.kapuskasing.ca/,Kapuskasing,Canada,CA,+1 705-335-2611
ERH,GMFK,Moulay Ali Cherif Airport,"Errachidia, Morocco",0.0,0.0,,,,,
ERI,KERI,Erie International Airport (Tom Ridge Field),"Erie, Pennsylvania, United States",42.08396,-80.172165,http://www.erieairport.org/,Erie,United States,US,+1 814-833-4258
ERL,ZBER,Erenhot Saiwusu International Airport,"Erenhot, Inner Mongolia, China",43.42912,112.105194,,Xilin Gol,China,CN,
EXT,EGTE,Exeter International Airport,"Exeter, England, United Kingdom",50.734386,-3.4177582,http://exeter-airport.co.uk/,Clyst Honiton,United Kingdom,GB,+44 1392 367433
FFA,KFFA,First Flight Airport,"Kill Devil Hills, North Carolina, United States",36.017612,-75.67153,,Kill Devil Hills,United States,US,
SUR,,Summer Beaver Airport (TC: CJV7),"Summer Beaver, Ontario, Canada",52.70861,-88.54195,,,Canada,CA,
XGL,,Granville Lake Airport,"Granville Lake, Manitoba, Canada",56.513332,-99.985275,,Leaf Rapids,Canada,CA,
LPF,ZUPS,Liupanshui Yuezhao Airport[2],"Liupanshui, Guizhou, China",0.0,0.0,,,,,
KES,CZEE,Kelsey Airport,"Kelsey, Manitoba, Canada",56.037792,-96.509605,,,Canada,CA,
YSI,,Parry Sound/Frying Pan Island-Sans Souci Water Aerodrome (TC: CPS9),"Fryingpan Island, Ontario, Canada",0.0,0.0,,,,,
YTH,CYTH,Thompson Airport,"Thompson, Manitoba, Canada",55.80031,-97.86293,http://www.thompsonairport.ca/,Thompson,Canada,CA,+1 204-677-0720
BYX,,Baniyala Airport,"Baniyala, Northern Territory, Australia",-13.198051,136.22694,http://www.airport-information.org/AU/BYX/,Baniyala,Australia,AU,
CGA,,Craig Seaplane Base,"Craig, Alaska, United States",55.478535,-133.14688,,Craig,United States,US,
LPT,VTCL,Lampang Airport,"Lampang, Thailand",18.277802,99.505905,,Phrabat,Thailand,TH,
LTK,OSLK,Bassel Al-Assad International Airport,"Latakia, Syria",35.40724,35.944027,,,Syria,SY,
ZGI,CZGI,Gods River Airport,"Gods River, Manitoba, Canada",54.838142,-94.056435,http://www.gov.mb.ca/mit/namo/air/airports.html,Gods River,Canada,CA,+1 204-366-2216
MAW,KMAW,Malden Regional Airport,"Malden, Missouri, United States",36.600555,-89.992226,http://www.maldenmo.com/,Malden,United States,US,+1 573-276-2279
AGL,AYWG,Wanigela Airport,"Wanigela, Papua New Guinea",0.0,0.0,,,,,
MAX,GOSM,Ouro Sogui Airport,"Matam, Senegal",15.597858,-13.3232355,,Ouro Sogui,Senegal,SN,+221 78 121 53 46
YZP,CYZP,Sandspit Airport,"Sandspit, British Columbia, Canada",53.25307,-131.81721,,Sandspit,Canada,CA,
YZT,CYZT,Port Hardy Airport,"Port Hardy, British Columbia, Canada",50.683823,-127.377235,,Port Hardy,Canada,CA,+1 250-949-6424
YTD,CZLQ,Thicket Portage Airport,"Thicket Portage, Manitoba, Canada",55.3194,-97.707756,,,Canada,CA,
ZPB,CZPB,Sachigo Lake Airport,"Sachigo Lake, Ontario, Canada",53.064163,-93.34444,,Sandy Lake,Canada,CA,
MBA,HKMO,Moi International Airport,"Mombasa, Kenya",-4.0355,39.5973,https://kaa.go.ke/airports/our-airports/moi-international-airport/,Mombasa,Kenya,KE,+254 20 3577058
MGZ,VYME,Myeik Airport,"Myeik, Myanmar",12.44762,98.61908,,Myeik,Myanmar (Burma),MM,+95 59 41 011
MHD,OIMM,Mashhad International Airport (Shahid Hashemi Nejad Airport),"Mashhad, Iran",36.230053,59.64437,,Mashhad,Iran,IR,+98 51 3340 0001
OBA,,Oban Airport,"Oban, Queensland, Australia",56.465652,-5.3976727,http://obanandtheislesairports.com/,North Connel,United Kingdom,GB,+44 1631 572910
LBG,LFPB,Paris–Le Bourget Airport,"Paris, Île-de-France, France",48.96147,2.437202,http://www.parisaeroport.fr/,Le Bourget,France,FR,+33 1 48 62 16 56
LBQ,FOGR,Lambaréné Airport,"Lambaréné, Gabon",0.456963,9.409852,http://www.libreville-aeroport.com/,Libreville,Gabon,GA,+241 01 73 82 82
CGC,AYCG,Cape Gloucester Airport,"Cape Gloucester, Papua New Guinea",0.0,0.0,,,,,
RNA,AGAR,Ulawa Airport,"Arona, Ulawa Island, Solomon Islands",-10.448715,161.89641,,,Solomon Islands,SB,
EYP,SKYP,El Alcaraván Airport,"Yopal, Colombia",5.320657,-72.386215,,,Colombia,CO,+57 8 6358352
EYW,KEYW,Key West International Airport,"Key West, Florida, United States",24.55492,-81.75649,http://www.eyw.com/,Key West,United States,US,+1 305-809-5200
EZE,SAEZ,Ministro Pistarini International Airport,"Buenos Aires, Argentina",-34.815006,-58.53483,http://www.aa2000.com.ar/,Ezeiza,Argentina,AR,+54 11 5480-6111
SDZ,,metropolitan area2,"Shetland Islands, Scotland, United Kingdom",0.0,0.0,,,,,
MLH,LFSB,EuroAirport Basel Mulhouse Freiburg,"Mulhouse, Alsace, France",47.59818,7.525496,http://www.euroairport.com/,Saint-Louis,France,FR,+33 3 89 90 31 11
ZST,CZST,Stewart Aerodrome,"Stewart, British Columbia, Canada",55.93656,-129.98145,,,Canada,CA,
DGE,YMDG,Mudgee Airport,"Mudgee, New South Wales, Australia",-32.563778,149.6156,,Bombira,Australia,AU,
DGT,RPVD,Sibulan Airport (Dumaguete Airport),"Dumaguete, Philippines",9.333735,123.29593,,Sibulan,Philippines,PH,+63 35 225 0900
FNA,GFLL,Lungi International Airport,"Freetown, Sierra Leone",8.615413,-13.200598,http://www.lungiairport.co.uk/,Lungi,Sierra Leone,SL,
MNM,KMNM,Menominee-Marinette Twin County Airport,"Menominee, Michigan, United States",45.124767,-87.630226,http://www.menomineecounty.com/committees/?committee=51b428fab2e2,Menominee,United States,US,+1 906-863-8408
MNO,FZRA,Manono Airport,"Manono, Democratic Republic of the Congo",-7.288772,27.393917,,Manono,Democratic Republic of the Congo,CD,
MQT,KSAW,Sawyer International Airport (FAA: SAW),"Marquette, Michigan, United States",46.349743,-87.38733,http://www.sawyerairport.com/,Gwinn,United States,US,+1 906-346-3308
MHG,EDFM,Mannheim City Airport,"Mannheim, Baden-Württemberg, Germany",49.476425,8.520742,http://www.flugplatz-mannheim.de/,Mannheim,Germany,DE,+49 621 419390
MHH,MYAM,Marsh Harbour Airport,"Marsh Harbour, Abaco Islands, Bahamas",26.510798,-77.08529,https://nfdc.faa.gov/nfdcApps/airportLookup/airportDisplay.jsp?category=nasr&airportId=MYAM,Marsh Harbour,The Bahamas,BS,+1 242-367-5500
MHK,KMHK,Manhattan Regional Airport,"Manhattan, Kansas, United States",39.137123,-96.66993,http://www.flymhk.com/,Manhattan,United States,US,+1 785-587-4597
MHQ,EFMA,Mariehamn Airport,"Mariehamn, Åland Islands, Finland",60.124832,19.907478,https://www.finavia.fi/sv/flygplatser/mariehamn,Jomala,Åland Islands,AX,+358 20 708000
YCQ,CYCQ,Chetwynd Airport,"Chetwynd, British Columbia, Canada",55.69032,-121.618454,http://www.gochetwynd.com/,Chetwynd,Canada,CA,+1 250-401-4100
LDH,YLHI,Lord Howe Island Airport,"Lord Howe Island, New South Wales, Australia",-31.539171,159.07826,http://www.lhib.nsw.gov.au/infrastructure/airport,Lord Howe Island,Australia,AU,+61 2 6563 2066
MQQ,FTTD,Moundou Airport,"Moundou, Chad",8.6235695,16.07157,,Moundou,Chad,TD,
MQS,TVSM,Mustique Airport,"Mustique Island, Saint Vincent and the Grenadines",12.88774,-61.17997,,,Saint Vincent and the Grenadines,VC,
LOZ,KLOZ,London-Corbin Airport (Magee Field),"London, Kentucky, United States",37.08769,-84.07547,http://www.london-corbinairport.com/,London,United States,US,+1 606-878-9100
LPA,GCLP,Gran Canaria Airport,"Gran Canaria, Canary Islands, Spain",27.933186,-15.387707,http://www.aena-aeropuertos.es/csee/Satellite/Aeropuerto-Gran-Canaria/es/,,Spain,ES,+34 928 57 91 30
LOQ,FBLO,Lobatse Airport,"Lobatse, Botswana",-25.24413,25.88184,,,South Africa,ZA,
LPE,SKIM,La Primavera Airport,"La Primavera, Colombia",5.489394,-70.45934,,,Colombia,CO,
